"name","invParentRule","invRule"
"Hyrule Castle & Sanctuary","","@Lower Light World"
"Hyrule Castle & Sanctuary::Escape","Hyrule Castle & Sanctuary","[lamp],[lift1]"
"Agahnim","","@Dark Death Mountain"
"Agahnim::Agahnim","Agahnim","[lamp],$canRemoveCurtains,sword || [lamp],$canRemoveCurtains,hammer || [lamp],$canRemoveCurtains,net"
"Eastern Palace","","@Lower Light World"
"Eastern Palace::Dungeon","Eastern Palace","[lamp]"
"Eastern Palace::Armos","Eastern Palace","bow,[lamp]"
"Desert Palace","","@Lower Light World,book"
"Desert Palace::Dungeon","Desert Palace","[boots]"
"Desert Palace::Lanmolas","Desert Palace","lift1,firesource,[boots],sword || lift1,firesource,[boots],hammer || lift1,firesource,[boots],firerod || lift1,firesource,[boots],icerod || lift1,firesource,[boots],bow || lift1,firesource,[boots],somaria || lift1,firesource,[boots],[sword]"
"Tower of Hera","","@East Light Death Mountain,hammer,pearl"
"Tower of Hera::Dungeon","Tower of Hera","[firesource]"
"Tower of Hera::Moldorm","Tower of Hera","sword,[firesource] || hammer,[firesource]"
"Palace of Darkness::Dungeon","","[bow],[lamp]"
"Palace of Darkness::Helmasaur King","","bow,hammer,[lamp]"
"Swamp Palace","","@Lower Light World,mirror,flippers"
"Swamp Palace::Dungeon","Swamp Palace","[hammer],[hookshot]"
"Swamp Palace::Arrgus","Swamp Palace","hammer,hookshot"
"Skull Woods::Mothula","","firerod,$canRemoveCurtains"
"Thieves Town::Dungeon","","[hammer]"
"Thieves Town::Blind","","sword || hammer || somaria || byrna"
"Ice Palace","","firerod,[flippers] || bombos,$canUseMedallions,[flippers]"
"Ice Palace::Dungeon","Ice Palace","[hammer],[hookshot],[lift1]"
"Ice Palace::Khold","Ice Palace","hammer,bombos,$canUseMedallions,lift1 || hammer,firerod,lift1"
"Misery Mire","","$canUseMedallions,mm_medallion,hookshot || $canUseMedallions,mm_medallion,boots || $canUseMedallions,bombos,ether,quake,hookshot || $canUseMedallions,bombos,ether,quake,boots"
"Misery Mire::Dungeon","Misery Mire","[firesource]"
"Misery Mire::Vitreous","Misery Mire","somaria,[lamp]"
"Turtle Rock","","$canUseMedallions,tr_medallion,somaria || $canUseMedallions,bombos,ether,quake,somaria || @East Light Death Mountain,mirror"
"Turtle Rock::Dungeon","Turtle Rock","[somaria],[firerod],[lamp],[mirror]"
"Turtle Rock::Trinexx","Turtle Rock","firerod,icerod,[lamp]"
"Ganon's Tower","","crystal:7"
