"name","regParentRule","regRule"
"Hyrule Castle & Sanctuary::Escape","","[lamp],[lift1]"
"Agahnim","","$canClearAgaTowerBarrier"
"Agahnim::Agahnim","Agahnim","[lamp],$canRemoveCurtains,sword || [lamp],$canRemoveCurtains,hammer || [lamp],$canRemoveCurtains,net"
"Eastern Palace","","[lamp]"
"Eastern Palace::Dungeon","Eastern Palace","[lamp]"
"Eastern Palace::Armos","Eastern Palace","bow,[lamp]"
"Desert Palace","","book || flute,lift2,mirror"
"Desert Palace::Dungeon","Desert Palace","[boots]"
"Desert Palace::Lanmolas","Desert Palace","lift1,firesource,[boots],sword || lift1,firesource,[boots],hammer || lift1,firesource,[boots],firerod || lift1,firesource,[boots],icerod || lift1,firesource,[boots],bow || lift1,firesource,[boots],somaria || lift1,firesource,[boots],[sword]"
"Eastern Dark World","","aga1,moonpearl || hammer,lift1,moonpearl || lift2,flippers,moonpearl || lift2,boots,pearl,[hammer]"
"Palace of Darkness::Dungeon","Eastern Dark World","[bow],[lamp]"
"Palace of Darkness::Helmasaur King","Eastern Dark World","bow,hammer,[lamp]"
"Dark Swamp Area","","pearl, lift2 || pearl, hammer,lift1 || pearl,aga1,hammer || aga1,pearl,flippers,hookshot || aga1,pearl,hammer,hookshot || aga1,pearl,lift1,hookshot"
"Swamp Palace","Dark Swamp Area","mirror,flippers"
"Swamp Palace::Dungeon","Swamp Palace","[hammer],[hookshot]"
"Swamp Palace::Arrgus","Swamp Palace","hammer,hookshot"
"Northwest Dark World","","aga1,hookshot,flippers,moonpearl || aga1,hookshot,lift1,moonpearl || aga1,hookshot,hammer,moonpearl || lift1,hammer,moonpearl || lift2,moonpearl"
"Skull Woods::Mothula","Northwest Dark World","firerod,$canRemoveCurtains"
"Thieves Town::Dungeon","Northwest Dark World","[hammer]"
"Thieves Town::Blind","Northwest Dark World","sword || hammer || somaria || byrna"
"Ice Palace","","moonpearl,lift2,firerod,[flippers] || moonpearl,lift2,bombos,$canUseMedallions,[flippers]"
"Ice Palace::Dungeon","Ice Palace","[hammer],[hookshot],[somaria]"
"Ice Palace::Khold","Ice Palace","hammer,bombos,$canUseMedallions || hammer,firerod"
"Misery Mire","","$canUseMedallions,moonpearl,mm_medallion,hookshot || $canUseMedallions,moonpearl,mm_medallion,boots || $canUseMedallions,moonpearl,bombos,ether,quake,hookshot || $canUseMedallions,moonpearl,bombos,ether,quake,boots"
"Misery Mire::Dungeon","Misery Mire","[firesource]"
"Misery Mire::Vitreous","Misery Mire","somaria,[lamp]"
"Death Mountain","","lift1,[lamp] || flute"
"Tower of Hera","Death Mountain","mirror || hookshot,hammer"
"Tower of Hera::Dungeon","Tower of Hera","[firesource]"
"Tower of Hera::Moldorm","Tower of Hera","sword,[firesource] || hammer,[firesource]"
"Turtle Rock","Death Mountain","$canUseMedallions,pearl,mirror,hammer,lift2,tr_medallion,somaria || $canUseMedallions,pearl,hookshot,hammer,lift2,tr_medallion,somaria || $canUseMedallions,pearl,mirror,hammer,lift2,bombos,ether,quake,somaria || $canUseMedallions,pearl,hookshot,hammer,lift2,bombos,ether,quake,somaria"
"Mimic Cave","Turtle Rock","mirror,hammer,@Turtle Rock/Dungeon"
"Turtle Rock::Dungeon","Turtle Rock","[firerod],[lamp]"
"Turtle Rock::Trinexx","Turtle Rock","firerod,icerod,[lamp]"
"Ganon's Tower","Death Mountain","mirror,hammer,lift2,crystal:7 || hookshot,hammer,lift2,crystal:7"
